time_s,tp_per_leg_nm,left_theta_world_rad,right_theta_world_rad
5.784000000000266,0.0,0.014468986559167042,0.014468986559166636
5.785000000000267,0.0,0.014455722108576726,0.01445572210857632
5.786000000000267,0.0,0.014442362003672235,0.014442362003671893
5.787000000000267,0.0,0.014428906905564446,0.014428906905564176
5.788000000000268,0.0,0.014415357472946918,0.014415357472946585
5.789000000000268,0.0,0.014401714362100802,0.014401714362100464
5.790000000000268,0.0,0.014387978226900203,0.014387978226899998
5.791000000000269,0.0,0.014374149718818074,0.014374149718817739
5.792000000000269,0.0,0.014360229486930488,0.014360229486930148
5.793000000000269,0.0,0.01434621817792298,0.01434621817792264
5.79400000000027,0.0,0.014332116436094708,0.014332116436094368
5.79500000000027,0.0,0.014317924903364332,0.014317924903363992
5.79600000000027,0.0,0.014303644219275647,0.014303644219275312
5.797000000000271,0.0,0.014289275021002187,0.01428927502100178
5.798000000000271,0.0,0.014274817943352367,0.014274817943352098
5.799000000000271,0.0,0.01426027361877609,0.01426027361877582
5.800000000000272,0.0,0.014245642677367826,0.014245642677367486
5.801000000000272,0.0,0.01423092574687424,0.014230925746873901
5.802000000000272,0.0,0.01421612345269735,0.014216123452697082
5.803000000000273,0.0,0.014201236417901284,0.014201236417900947
5.804000000000273,0.0,0.014186265263216853,0.014186265263216646
5.805000000000273,0.0,0.014171210607047055,0.014171210607046786
5.806000000000274,0.0,0.014156073065472197,0.014156073065471926
5.807000000000274,0.0,0.014140853252254868,0.014140853252254594
5.808000000000274,0.0,0.014125551778846161,0.014125551778845823
5.809000000000275,0.0,0.014110169254389784,0.014110169254389513
5.810000000000275,0.0,0.014094706285727914,0.014094706285727778
5.811000000000275,0.0,0.014079163477406346,0.014079163477406143
5.812000000000276,0.0,0.014063541431680085,0.014063541431679814
5.813000000000276,0.0,0.01404784074851753,0.014047840748517193
5.814000000000276,0.0,0.014032062025607162,0.014032062025606891
5.815000000000277,0.0,0.014016205858361509,0.01401620585836117
5.816000000000277,0.0,0.014000272839923453,0.01400027283992318
5.817000000000277,0.0,0.013984263561170801,0.01398426356117053
5.818000000000278,0.0,0.01396817861072108,0.013968178610720812
5.819000000000278,0.0,0.013952018574938314,0.013952018574938043
5.820000000000278,0.0,0.013935784037936834,0.013935784037936631
5.821000000000279,0.0,0.013919475581586925,0.013919475581586722
5.822000000000279,0.0,0.013903093785520142,0.013903093785520007
5.823000000000279,0.0,0.013886639227135069,0.013886639227134729
5.82400000000028,0.0,0.013870112481601141,0.01387011248160087
5.82500000000028,0.0,0.013853514121865317,0.01385351412186518
5.82600000000028,0.0,0.013836844718656687,0.013836844718656484
5.827000000000281,0.0,0.013820104840491395,0.013820104840491123
5.828000000000281,0.0,0.013803295053678128,0.013803295053677923
5.829000000000281,0.0,0.013786415922324064,0.013786415922323861
5.830000000000282,0.0,0.01376946800833859,0.013769468008338387
5.831000000000282,0.0,0.013752451871439648,0.013752451871439378
5.832000000000282,0.0,0.013735368069158716,0.013735368069158576
5.833000000000283,0.0,0.013718217156845803,0.0137182171568456
5.834000000000283,0.0,0.013700999687674423,0.01370099968767422
5.835000000000283,0.0,0.01368371621264765,0.013683716212647447
5.836000000000284,0.0,0.013666367280602467,0.01366636728060233
5.837000000000284,0.0,0.013648953438215466,0.013648953438215329
5.838000000000284,0.0,0.013631475230007805,0.013631475230007599
5.839000000000285,0.0,0.013613933198350149,0.01361393319834988
5.840000000000285,0.0,0.013596327883468172,0.013596327883467969
5.841000000000285,0.0,0.013578659823448346,0.013578659823448143
5.842000000000286,0.0,0.013560929554241562,0.013560929554241426
5.843000000000286,0.0,0.013543137609670219,0.013543137609669948
5.844000000000286,0.0,0.013525284521431149,0.013525284521430947
5.845000000000287,0.0,0.013507370819103333,0.0135073708191032
5.846000000000287,0.0,0.013489397030150625,0.013489397030150422
5.847000000000287,0.0,0.013471363679928839,0.013471363679928704
5.848000000000288,0.0,0.013453271291689982,0.013453271291689916
5.849000000000288,0.0,0.013435120386587304,0.013435120386587238
5.850000000000288,0.0,0.013416911483680903,0.013416911483680767
5.851000000000289,0.0,0.013398645099942534,0.013398645099942397
5.852000000000289,0.0,0.013380321750260764,0.013380321750260694
5.853000000000289,0.0,0.013361941947446693,0.013361941947446488
5.85400000000029,0.0,0.013343506202238179,0.013343506202237976
5.85500000000029,0.0,0.013325015023305643,0.013325015023305442
5.85600000000029,0.0,0.013306468917256788,0.01330646891725672
5.857000000000291,0.0,0.013287868388642526,0.013287868388642458
5.858000000000291,0.0,0.013269213939960736,0.013269213939960533
5.859000000000291,0.0,0.013250506071662485,0.013250506071662352
5.860000000000292,0.0,0.013231745282156884,0.013231745282156817
5.861000000000292,0.0,0.01321293206781583,0.013212932067815692
5.862000000000292,0.0,0.013194066922979865,0.013194066922979664
5.863000000000293,0.0,0.013175150339962378,0.013175150339962242
5.864000000000293,0.0,0.013156182809055547,0.013156182809055412
5.865000000000293,0.0,0.013137164818534743,0.013137164818534677
5.866000000000294,0.0,0.013118096854663818,0.013118096854663683
5.867000000000294,0.0,0.013098979401701018,0.013098979401700883
5.868000000000294,0.0,0.013079812941902224,0.013079812941902157
5.869000000000295,0.0,0.013060597955528318,0.01306059795552825
5.870000000000295,0.0,0.013041334920848018,0.01304133492084795
5.871000000000295,0.0,0.013022024314145184,0.013022024314145118
5.872000000000296,0.0,0.013002666609721656,0.013002666609721521
5.873000000000296,0.0,0.012983262279903925,0.012983262279903792
5.874000000000296,0.0,0.01296381179504767,0.012963811795047533
5.875000000000297,0.0,0.012944315623542719,0.012944315623542651
5.876000000000297,0.0,0.012924774231818207,0.01292477423181814
5.877000000000297,0.0,0.012905188084347773,0.012905188084347706
5.878000000000298,0.0,0.012885557643653917,0.012885557643654053
5.879000000000298,0.0,0.012865883370314305,0.012865883370314236
5.880000000000298,0.0,0.012846165722965404,0.012846165722965404
5.881000000000299,0.0,0.012826405158308692,0.012826405158308624
5.882000000000299,0.0,0.012806602131114578,0.012806602131114578
5.883000000000299,0.0,0.01278675709422868,0.012786757094228544
5.8840000000003,0.0,0.012766870498575453,0.012766870498575385
5.8850000000003,0.0,0.012746942793164368,0.012746942793164302
5.8860000000003,0.0,0.012726974425094406,0.012726974425094406
5.887000000000301,0.0,0.012706965839559273,0.012706965839559206
5.888000000000301,0.0,0.01268691747985151,0.012686917479851375
5.889000000000301,0.0,0.012666829787368996,0.012666829787368997
5.890000000000302,0.0,0.01264670320161897,0.01264670320161897
5.891000000000302,0.0,0.01262653816022313,0.012626538160223062
5.892000000000302,0.0,0.0126063350989224,0.01260633509892233
5.893000000000303,0.0,0.012586094451582696,0.01258609445158263
5.894000000000303,0.0,0.012565816650198906,0.012565816650198836
5.895000000000303,0.0,0.012545502124900609,0.012545502124900541
5.896000000000304,0.0,0.012525151303956714,0.012525151303956714
